sample_id	control_bam	tumor_bam
4120193	/SAN/colcc/BCI_ICGC_raw/WGS/control_4120193_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4120193_merged.bam.rmdup.bam
4120468	/SAN/colcc/BCI_ICGC_raw/WGS/control_4120468_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4120468_merged.mdup.bam
4120879X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4120879X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4120879X_merged.mdup.bam
4121263	/SAN/colcc/BCI_ICGC_raw/WGS/control_4121263_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4121263_merged.mdup.bam
4121361	/SAN/colcc/BCI_ICGC_raw/WGS/control_4121361_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4121361_merged.bam.rmdup.bam
4121621X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4121621X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4121621X_merged.mdup.bam
4121974X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4121974X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4121974X_merged.mdup.bam
4122063	/SAN/colcc/BCI_ICGC_raw/WGS/control_4122063_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4122063_merged.mdup.bam
4123945	/SAN/colcc/BCI_ICGC_raw/WGS/control_4123945_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4123945_merged.mdup.bam
4124188	/SAN/colcc/BCI_ICGC_raw/WGS/control_4124188_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4124188_merged.mdup.bam
4124432X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4124432X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4124432X_merged.mdup.bam
4124542	/SAN/colcc/BCI_ICGC_raw/WGS/control_4124542_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4124542_merged.bam.rmdup.bam
4124795	/SAN/colcc/BCI_ICGC_raw/WGS/control_4124795_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4124795_merged.mdup.bam
4126692X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4126692X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4126692X_merged.mdup.bam
4128355X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4128355X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4128355X_merged.mdup.bam
4128435X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4128435X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4128435X_merged.mdup.bam
4128477	/SAN/colcc/BCI_ICGC_raw/WGS/control_4128477_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4128477_merged.bam.rmdup.bam
4128849X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4128849X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4128849X_merged.mdup.bam
4128852	/SAN/colcc/BCI_ICGC_raw/WGS/control_4128852_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4128852_merged.mdup.bam
4128970	/SAN/colcc/BCI_ICGC_raw/WGS/control_4128970_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4128970_merged.mdup.bam
4130051	/SAN/colcc/BCI_ICGC_raw/WGS/control_4130051_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4130051_merged.mdup.bam
4130194	/SAN/colcc/BCI_ICGC_raw/WGS/control_4130194_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4130194_merged.mdup.bam
4130865X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4130865X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4130865X_merged.mdup.bam
4131095	/SAN/colcc/BCI_ICGC_raw/WGS/control_4131095_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4131095_merged.bam.rmdup.bam
4131213X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4131213X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4131213X_merged.mdup.bam
4131257	/SAN/colcc/BCI_ICGC_raw/WGS/control_4131257_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4131257_merged.bam.rmdup.bam
4131738	/SAN/colcc/BCI_ICGC_raw/WGS/control_4131738_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4131738_merged.mdup.bam
4131744	/SAN/colcc/BCI_ICGC_raw/WGS/control_4131744_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4131744_merged.mdup.bam
4132950	/SAN/colcc/BCI_ICGC_raw/WGS/control_4132950_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4132950_merged.mdup.bam
4133263	/SAN/colcc/BCI_ICGC_raw/WGS/control_4133263_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4133263_merged.bam.rmdup.bam
4133863	/SAN/colcc/BCI_ICGC_raw/WGS/control_4133863_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4133863_merged.mdup.bam
4134005	/SAN/colcc/BCI_ICGC_raw/WGS/control_4134005_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4134005_merged.bam.rmdup.bam
4134434	/SAN/colcc/BCI_ICGC_raw/WGS/control_4134434_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4134434_merged.bam.rmdup.bam
4135099	/SAN/colcc/BCI_ICGC_raw/WGS/control_4135099_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4135099_merged.bam.rmdup.bam
4135278	/SAN/colcc/BCI_ICGC_raw/WGS/control_4135278_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4135278_merged.mdup.bam
4136095X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4136095X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4136095X_merged.mdup.bam
4136702	/SAN/colcc/BCI_ICGC_raw/WGS/control_4136702_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4136702_merged.bam.rmdup.bam
4137230X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4137230X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4137230X_merged.mdup.bam
4138059X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4138059X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4138059X_merged.mdup.bam
4138464X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4138464X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4138464X_merged.mdup.bam
4138527	/SAN/colcc/BCI_ICGC_raw/WGS/control_4138527_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4138527_merged.mdup.bam
4138652	/SAN/colcc/BCI_ICGC_raw/WGS/control_4138652_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4138652_merged.mdup.bam
4138885	/SAN/colcc/BCI_ICGC_raw/WGS/control_4138885_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4138885_merged.bam.rmdup.bam
4139212X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4139212X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4139212X_merged.mdup.bam
4139483X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4139483X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4139483X_merged.mdup.bam
4139696	/SAN/colcc/BCI_ICGC_raw/WGS/control_4139696_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4139696_merged.bam.rmdup.bam
4140531	/SAN/colcc/BCI_ICGC_raw/WGS/control_4140531_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4140531_merged.mdup.bam
4140544X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4140544X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4140544X_merged.mdup.bam
4141476	/SAN/colcc/BCI_ICGC_raw/WGS/control_4141476_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4141476_merged.mdup.bam
4142605	/SAN/colcc/BCI_ICGC_raw/WGS/control_4142605_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4142605_merged.bam.rmdup.bam
4142761	/SAN/colcc/BCI_ICGC_raw/WGS/control_4142761_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4142761_merged.mdup.bam
4144131	/SAN/colcc/BCI_ICGC_raw/WGS/control_4144131_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4144131_merged.mdup.bam
4144366	/SAN/colcc/BCI_ICGC_raw/WGS/control_4144366_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4144366_merged.mdup.bam
4144951	/SAN/colcc/BCI_ICGC_raw/WGS/control_4144951_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4144951_merged.bam.rmdup.bam
4145056	/SAN/colcc/BCI_ICGC_raw/WGS/control_4145056_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4145056_merged.bam.rmdup.bam
4145177	/SAN/colcc/BCI_ICGC_raw/WGS/control_4145177_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4145177_merged.bam.rmdup.bam
4145391	/SAN/colcc/BCI_ICGC_raw/WGS/control_4145391_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4145391_merged.mdup.bam
4145528	/SAN/colcc/BCI_ICGC_raw/WGS/control_4145528_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4145528_merged.bam.rmdup.bam
4146301X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4146301X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4146301X_merged.mdup.bam
4147081	/SAN/colcc/BCI_ICGC_raw/WGS/control_4147081_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4147081_merged.bam.rmdup.bam
4147360X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4147360X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4147360X_merged.mdup.bam
4147968	/SAN/colcc/BCI_ICGC_raw/WGS/control_4147968_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4147968_merged.bam.rmdup.bam
4148261	/SAN/colcc/BCI_ICGC_raw/WGS/control_4148261_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4148261_merged.mdup.bam
4148771	/SAN/colcc/BCI_ICGC_raw/WGS/control_4148771_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4148771_merged.mdup.bam
4149246	/SAN/colcc/BCI_ICGC_raw/WGS/control_4149246_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4149246_merged.bam.rmdup.bam
4150549	/SAN/colcc/BCI_ICGC_raw/WGS/controlFake_4150549_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4150549_merged.mdup.bam
4151028	/SAN/colcc/BCI_ICGC_raw/WGS/control_4151028_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4151028_merged.mdup.bam
4157186	/SAN/colcc/BCI_ICGC_raw/WGS/control_4157186_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4157186_merged.bam.rmdup.bam
4158268	/SAN/colcc/BCI_ICGC_raw/WGS/control_4158268_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4158268_merged.mdup.bam
4158483	/SAN/colcc/BCI_ICGC_raw/WGS/control_4158483_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4158483_merged.mdup.bam
4158726	/SAN/colcc/BCI_ICGC_raw/WGS/control_4158726_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4158726_merged.bam.rmdup.bam
4158933	/SAN/colcc/BCI_ICGC_raw/WGS/control_4158933_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4158933_merged.mdup.bam
4159170	/SAN/colcc/BCI_ICGC_raw/WGS/control_4159170_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4159170_merged.bam.rmdup.bam
4159421	/SAN/colcc/BCI_ICGC_raw/WGS/control_4159421_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4159421_merged.bam.rmdup.bam
4160069	/SAN/colcc/BCI_ICGC_raw/WGS/control_4160069_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4160069_merged.mdup.bam
4160468	/SAN/colcc/BCI_ICGC_raw/WGS/control_4160468_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4160468_merged.bam.rmdup.bam
4161288X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4161288X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4161288X_merged.mdup.bam
4161781	/SAN/colcc/BCI_ICGC_raw/WGS/control_4161781_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4161781_merged.bam.rmdup.bam
4162154	/SAN/colcc/BCI_ICGC_raw/WGS/control_4162154_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4162154_merged.mdup.bam
4163297	/SAN/colcc/BCI_ICGC_raw/WGS/control_4163297_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4163297_merged.mdup.bam
4163639	/SAN/colcc/BCI_ICGC_raw/WGS/control_4163639_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4163639_merged.bam.rmdup.bam
4164330X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4164330X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4164330X_merged.mdup.bam
4165379	/SAN/colcc/BCI_ICGC_raw/WGS/control_4165379_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4165379_merged.bam.rmdup.bam
4166151	/SAN/colcc/BCI_ICGC_raw/WGS/control_4166151_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4166151_merged.bam.rmdup.bam
4166503	/SAN/colcc/BCI_ICGC_raw/WGS/control_4166503_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4166503_merged.bam.rmdup.bam
4166706	/SAN/colcc/BCI_ICGC_raw/WGS/control_4166706_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4166706_merged.bam.rmdup.bam
4166940	/SAN/colcc/BCI_ICGC_raw/WGS/control_4166940_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4166940_merged.mdup.bam
4167381	/SAN/colcc/BCI_ICGC_raw/WGS/control_4167381_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4167381_merged.mdup.bam
4167925X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4167925X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4167925X_merged.mdup.bam
4168738	/SAN/colcc/BCI_ICGC_raw/WGS/control_4168738_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4168738_merged.mdup.bam
4169012	/SAN/colcc/BCI_ICGC_raw/WGS/control_4169012_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4169012_merged.mdup.bam
4170577	/SAN/colcc/BCI_ICGC_raw/WGS/control_4170577_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4170577_merged.mdup.bam
4170686	/SAN/colcc/BCI_ICGC_raw/WGS/control_4170686_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4170686_merged.bam.rmdup.bam
4171586X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4171586X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4171586X_merged.mdup.bam
4171706	/SAN/colcc/BCI_ICGC_raw/WGS/control_4171706_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4171706_merged.mdup.bam
4171810	/SAN/colcc/BCI_ICGC_raw/WGS/control_4171810_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4171810_merged.mdup.bam
4171908X	/SAN/colcc/BCI_ICGC_raw/WGS/controlFake_4171908X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4171908X_merged.mdup.bam
4171946X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4171946X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4171946X_merged.mdup.bam
4173863	/SAN/colcc/BCI_ICGC_raw/WGS/control_4173863_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4173863_merged.mdup.bam
4174905	/SAN/colcc/BCI_ICGC_raw/WGS/control_4174905_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4174905_merged.bam.rmdup.bam
4175837	/SAN/colcc/BCI_ICGC_raw/WGS/control_4175837_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4175837_merged.bam.rmdup.bam
4175941X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4175941X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4175941X_merged.mdup.bam
4176046X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4176046X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4176046X_merged.mdup.bam
4176133	/SAN/colcc/BCI_ICGC_raw/WGS/control_4176133_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4176133_merged.bam.rmdup.bam
4176325	/SAN/colcc/BCI_ICGC_raw/WGS/control_4176325_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4176325_merged.mdup.bam
4176584X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4176584X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4176584X_merged.mdup.bam
4177175X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4177175X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4177175X_merged.mdup.bam
4177376	/SAN/colcc/BCI_ICGC_raw/WGS/control_4177376_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4177376_merged.bam.rmdup.bam
4177406	/SAN/colcc/BCI_ICGC_raw/WGS/control_4177406_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4177406_merged.mdup.bam
4177601	/SAN/colcc/BCI_ICGC_raw/WGS/control_4177601_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4177601_merged.bam.rmdup.bam
4177639	/SAN/colcc/BCI_ICGC_raw/WGS/control_4177639_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4177639_merged.mdup.bam
